Designator,Comment,Footprint,LCSC Part Number,Qtd
Y2,MC-306_32.7680K-A0:ROHS,MC-306_32.7680K-A0_ROHS:XTAL_MC-306_32.7680K-A0,C2650464,1
Y1,X49SD8MSD2SC,LIB_X49SD8MSD2SC:X49SD8MSD2SC,C21263,1
XTAL1,NX2016SA-32M-EXS00A-CS06465,NX2016SA-32M-EXS00A-CS06465:NX2016SA_NDK,C1986260,1
U5,AHT20,AHT20:PSON100P300X300X110-6N,C2757850,1
U4,SN65HVD230D,SN65HVD230D:SOIC127P599X175-8N,C12084,1
U3,AMS1117-3.3,AMS1117-3.3:SOT229P700X180-4N,C5199435,1
U2,SX1276,SX1276:QFN65P600X600X100-29N,C80171,1
U1,STM32F103C8T6,STM32F103C8T6:QFP50P900X900X160-48N,C8734,1
SW1,SW_Push,Button_Switch_SMD:SW_SPST_TL3342,C2886894,1
R13,10k,Resistor_SMD:R_0402_1005Metric,C100196,1
R12,10k,Resistor_SMD:R_0402_1005Metric,C100196,1
R10,120,Resistor_SMD:R_0402_1005Metric,C284306,1
R9,510,Resistor_SMD:R_0402_1005Metric,C208903,1
R8,510,Resistor_SMD:R_0402_1005Metric,C208903,1
R7,4.7k,Resistor_SMD:R_0402_1005Metric,C525524,1
R6,20,Resistor_SMD:R_0402_1005Metric,C102873,1
R5,20,Resistor_SMD:R_0402_1005Metric,C102873,1
R4,100k,Resistor_SMD:R_0402_1005Metric,C431822,1
R3,100k,Resistor_SMD:R_0402_1005Metric,C431822,1
R2,1M,Resistor_SMD:R_0402_1005Metric,C323689,1
R1,10k,Resistor_SMD:R_0402_1005Metric,C100196,1
L4,6.2nH,Inductor_SMD:L_0402_1005Metric,C5137258,1
L3,10nH,Inductor_SMD:L_0402_1005Metric,C280981,1
L2,6.8nH,Inductor_SMD:L_0402_1005Metric,C114783,1
L1,33nH,Inductor_SMD:L_0402_1005Metric,C2757905,1
J7,Conn_01x11_Socket,Connector_PinHeader_2.54mm:PinHeader_1x11_P2.54mm_Vertical,C2902694,1
J6,Conn_01x11_Socket,Connector_PinHeader_2.54mm:PinHeader_1x11_P2.54mm_Vertical,C2902694,1
J5,Conn_01x02_Socket,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,C160332,1
J4,Conn_02x03_Odd_Even,Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical,C390684,1
J3,Conn_01x04_Socket,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,C390680,1
J2,U.FL-R-SMT-1(10),U.FL-R-SMT-1_10_:HRS_U.FL-R-SMT-1(10),C88374,1
J1,10118192-0001LF,10118192-0001LF:AMPHENOL_10118192-0001LF,C132564,1
D2,LED,LED_SMD:LED_1206_3216Metric,C965822,1
D1,LED,LED_SMD:LED_1206_3216Metric,C965822,1
C40,100nF,Capacitor_SMD:C_0402_1005Metric,C163180,1
C39,100nF,Capacitor_SMD:C_0402_1005Metric,C163180,1
C38,1.8pF,Capacitor_SMD:C_0402_1005Metric,C147346,1
C37,100nF,Capacitor_SMD:C_0402_1005Metric,C163180,1
C36,20pF,Capacitor_SMD:C_0402_1005Metric,C778217,1
C35,20pF,Capacitor_SMD:C_0402_1005Metric,C778217,1
C34,20pF,Capacitor_SMD:C_0402_1005Metric,C778217,1
C33,20pF,Capacitor_SMD:C_0402_1005Metric,C778217,1
C32,100nF,Capacitor_SMD:C_0402_1005Metric,C163180,1
C31,1uF,Capacitor_SMD:C_0402_1005Metric,C162154,1
C30,100nF,Capacitor_SMD:C_0402_1005Metric,C163180,1
C21,100nF,Capacitor_SMD:C_0402_1005Metric,C163180,1
C20,100nF,Capacitor_SMD:C_0402_1005Metric,C163180,1
C19,100nF,Capacitor_SMD:C_0402_1005Metric,C163180,1
C18,100nF,Capacitor_SMD:C_0402_1005Metric,C163180,1
C17,4.7pF,Capacitor_SMD:C_0402_1005Metric,C311706,1
C16,33pF,Capacitor_SMD:C_0402_1005Metric,C382724,1
C15,2.2pF,Capacitor_SMD:C_0402_1005Metric,C123473,1
C14,47pF,Capacitor_SMD:C_0402_1005Metric,C525215,1
C13,10nF,Capacitor_SMD:C_0402_1005Metric,C466608,1
C12,100nF,Capacitor_SMD:C_0402_1005Metric,C163180,1
C11,47pF,Capacitor_SMD:C_0402_1005Metric,C525215,1
C10,100nF,Capacitor_SMD:C_0402_1005Metric,C163180,1
C9,100nF,Capacitor_SMD:C_0402_1005Metric,C163180,1
C8,10uF,Capacitor_SMD:C_0402_1005Metric,C307416,1
C7,100nF,Capacitor_SMD:C_0402_1005Metric,C163180,1
C6,100nF,Capacitor_SMD:C_0402_1005Metric,C163180,1
C5,10uF,Capacitor_SMD:C_0402_1005Metric,C307416,1
C4,100nF,Capacitor_SMD:C_0402_1005Metric,C163180,1
C3,100nF,Capacitor_SMD:C_0402_1005Metric,C163180,1
C2,15pF,Capacitor_SMD:C_0402_1005Metric,C2880416,1
C1,15pF,Capacitor_SMD:C_0402_1005Metric,C2880416,1
